City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,mataura,71,NZ,1566947670,62,-46.19,168.86,55.0,8.99
1,dikson,100,RU,1566947671,90,73.51,80.55,41.02,9.24
2,kaitangata,99,NZ,1566947671,45,-46.28,169.85,55.99,5.99
3,yellowknife,40,CA,1566947672,63,62.45,-114.38,62.6,10.29
4,qaanaaq,98,GL,1566947672,92,77.48,-69.36,31.84,8.05
5,chicama,20,PE,1566947672,82,-7.84,-79.15,64.4,8.05
6,vaini,16,IN,1566947673,93,15.34,74.49,74.14,1.72
7,kapaa,75,US,1566947673,62,22.08,-159.32,87.8,11.41
8,georgetown,20,GY,1566947539,79,6.8,-58.16,84.2,11.41
9,marzuq,70,YE,1566947673,39,14.4,46.47,80.8,5.46
10,busselton,92,AU,1566947673,64,-33.64,115.35,46.99,14.16
11,saint-philippe,1,CA,1566947674,50,45.36,-73.48,75.99,4.7
12,arraial do cabo,75,BR,1566947674,77,-22.97,-42.02,64.4,3.36
13,khatanga,99,RU,1566947674,90,71.98,102.47,50.92,10.2
14,rikitea,72,PF,1566947674,74,-23.12,-134.97,69.82,11.18
15,ushuaia,75,AR,1566947675,56,-54.81,-68.31,41.0,16.11
16,tome,75,JP,1566947675,94,38.69,141.2,71.6,3.22
17,grindavik,75,IS,1566947675,93,63.84,-22.43,50.0,8.05
18,gouyave,40,GD,1566947676,79,12.16,-61.73,84.2,9.26
19,punta arenas,40,CL,1566947676,60,-53.16,-70.91,41.0,25.28
20,shingu,100,JP,1566947676,99,33.72,135.99,70.54,11.54
21,port alfred,3,ZA,1566947676,73,-33.59,26.89,57.99,4.0
22,kenai,1,US,1566947487,40,60.55,-151.26,69.8,4.7
23,hobart,75,AU,1566947458,70,-42.88,147.33,48.2,10.29
24,rawson,20,AR,1566947677,29,-43.3,-65.11,60.8,33.33
25,port elizabeth,20,US,1566947677,78,39.31,-74.98,75.2,4.7
26,thinadhoo,48,MV,1566947678,76,0.53,72.93,82.6,10.42
27,kysyl-syr,100,RU,1566947678,92,63.9,122.77,55.42,9.08
28,orlik,0,PL,1566947678,64,53.95,17.74,72.0,10.29
29,rio gallegos,75,AR,1566947387,42,-51.62,-69.22,46.4,13.87
30,bredasdorp,11,ZA,1566947678,81,-34.53,20.04,48.2,6.93
31,rocha,18,UY,1566947678,98,-34.48,-54.34,54.34,6.49
32,cabo san lucas,5,MX,1566947605,46,22.89,-109.91,89.6,10.29
33,pasco,1,US,1566947402,17,46.24,-119.1,93.2,10.29
34,rundu,0,NA,1566947679,26,-17.91,19.77,59.0,2.24
35,cape town,20,ZA,1566947389,81,-33.93,18.42,51.01,1.12
36,comodoro rivadavia,75,AR,1566947679,58,-45.87,-67.48,53.6,8.05
37,albany,75,US,1566947438,63,42.65,-73.75,73.0,3.36
38,zhigansk,99,RU,1566947680,53,66.77,123.37,62.26,4.79
39,new norfolk,75,AU,1566947680,70,-42.78,147.06,48.2,10.29
40,cherskiy,96,RU,1566947680,74,68.75,161.3,43.54,20.49
41,avarua,17,CK,1566947681,69,-21.21,-159.78,75.2,18.34
42,tawang,72,BT,1566947681,89,27.59,91.87,57.04,3.74
43,kasempa,47,ZM,1566947681,51,-13.46,25.83,66.04,4.47
44,geraldton,75,CA,1566947682,72,49.72,-86.95,62.6,13.87
45,sliema,0,MT,1566947682,78,35.91,14.5,79.0,4.7
46,nurota,0,UZ,1566947682,40,40.56,65.69,69.8,4.7
47,bambous virieux,40,MU,1566947683,56,-20.34,57.76,72.0,10.29
48,aksarka,98,RU,1566947683,71,66.56,67.8,41.2,21.43
49,aquiraz,0,BR,1566947683,74,-3.9,-38.39,80.6,9.17
50,haines junction,47,CA,1566947684,34,60.75,-137.51,57.04,3.42
51,victoria,75,BN,1566947684,78,5.28,115.24,78.8,3.36
52,jamestown,58,AU,1566947684,83,-33.21,138.6,48.4,7.83
53,talaya,40,RU,1566947684,87,55.79,84.89,59.0,11.18
54,metro,83,ID,1566947685,88,-5.11,105.31,74.5,5.28
55,el dorado,20,TT,1566947685,83,10.65,-61.37,82.4,3.36
56,elizabeth city,90,US,1566947418,88,36.3,-76.22,77.0,10.29
57,imbituba,0,BR,1566947686,88,-28.24,-48.67,66.2,10.29
58,the valley,40,AI,1566947686,78,18.22,-63.06,81.0,12.75
59,los llanos de aridane,20,ES,1566947686,78,28.66,-17.92,73.4,13.87
60,saint george,20,GR,1566947687,56,39.45,22.34,71.6,1.3
61,willowmore,1,ZA,1566947687,91,-33.3,23.49,39.04,3.33
62,kilindoni,0,TZ,1566947687,75,-7.91,39.67,76.84,10.22
63,tiksi,15,RU,1566947591,82,71.64,128.87,39.4,12.73
64,mindelo,75,PT,1566947687,93,41.31,-8.72,66.0,4.7
65,egvekinot,90,RU,1566947688,65,66.32,-179.17,55.06,8.75
66,iqaluit,40,CA,1566947688,66,63.75,-68.52,51.8,19.46
67,ketchikan,1,US,1566947688,67,55.34,-131.65,62.6,11.41
68,ola,100,RU,1566947688,97,59.58,151.3,50.74,0.74
69,bekhtery,0,UA,1566947688,55,46.25,32.3,66.2,8.95
70,inhambane,0,MZ,1566947689,95,-23.87,35.38,62.44,4.5
71,aklavik,75,CA,1566947689,59,68.22,-135.01,62.6,5.82
72,almaznyy,0,RU,1566947689,58,48.03,40.04,57.2,2.24
73,pevek,100,RU,1566947690,94,69.7,170.27,37.24,21.74
74,norman wells,75,CA,1566947690,39,65.28,-126.83,66.2,4.7
75,barrow,61,AR,1566947690,77,-38.31,-60.23,63.7,16.51
76,mombetsu,0,JP,1566947690,76,44.35,143.35,66.99,7.0
77,leningradskiy,100,RU,1566947690,94,69.38,178.42,40.3,3.38
78,bestobe,29,KZ,1566947691,81,52.5,73.1,48.4,3.78
